,Prices,Beds,Baths,SquareFt,Loc,p/sf
0,270000.0,4,3,2283,"Western Branch South, Chesapeake, VA",118.26544021024966
1,299750.0,4,2,1750,"South Norfolk, Chesapeake, VA",171.28571428571428
2,260000.0,3,2,2444,"North Chesterfield, VA",106.38297872340425
3,380000.0,5,3,2750,"Midlothian, VA",138.1818181818182
4,489000.0,3,3,2351,"Glen Allen, VA",207.99659719268396
5,285000.0,3,3,1440,"Chesterfield, VA",197.91666666666666
6,250000.0,4,3,2350,"Western Branch South, Chesapeake, VA",106.38297872340425
7,270000.0,3,2,1067,"Fredericksburg, VA",253.04592314901592
8,379000.0,4,3,1940,"Charlottesville, VA",195.36082474226805
9,300000.0,3,2,1905,"Williamsburg, VA",157.48031496062993
10,315000.0,4,4,2695,"North Chesterfield, VA",116.88311688311688
11,234950.0,3,2,1053,"Gloucester, VA",223.12440645773978
12,234900.0,4,2,1568,"Suffolk, VA",149.80867346938774
13,399999.0,4,2,2100,"Montross, VA",190.47571428571428
14,365000.0,3,2,1388,"Forest Hill, Richmond, VA",262.9682997118156
15,739000.0,4,3,2768,"Henrico, VA",266.9797687861272
16,255000.0,5,3,1900,"Suffolk, VA",134.21052631578948
17,299000.0,3,2,1300,"Suffolk, VA",230.0
18,375000.0,3,2,1569,"Suffolk, VA",239.0057361376673
19,285000.0,3,3,1704,"Williamsburg, VA",167.25352112676057
20,189900.0,2,2,979,"British Camp Farms, Richmond, VA",193.97344228804903
21,300000.0,3,3,2144,"Greenbrier West, Chesapeake, VA",139.92537313432837
22,195000.0,3,2,1248,"Indian River, Chesapeake, VA",156.25
23,259900.0,3,3,1363,"Mayfield, Fredericksburg, VA",190.68231841526045
24,500000.0,4,3,2300,"Great Bridge, Chesapeake, VA",217.3913043478261
25,240000.0,4,2,2620,"Mercury Central, Hampton, VA",91.6030534351145
26,310000.0,4,3,2000,"Great Bridge East, Chesapeake, VA",155.0
27,350000.0,4,3,2238,"Fredericksburg, VA",156.38963360142984
28,295000.0,4,3,2016,"Henrico, VA",146.3293650793651
29,305000.0,3,3,1620,"Henrico, VA",188.2716049382716
30,270000.0,4,3,2283,"Western Branch South, Chesapeake, VA",118.26544021024966
31,299750.0,4,2,1750,"South Norfolk, Chesapeake, VA",171.28571428571428
32,260000.0,3,2,2444,"North Chesterfield, VA",106.38297872340425
33,380000.0,5,3,2750,"Midlothian, VA",138.1818181818182
34,489000.0,3,3,2351,"Glen Allen, VA",207.99659719268396
35,285000.0,3,3,1440,"Chesterfield, VA",197.91666666666666
36,250000.0,4,3,2350,"Western Branch South, Chesapeake, VA",106.38297872340425
37,270000.0,3,2,1067,"Fredericksburg, VA",253.04592314901592
38,379000.0,4,3,1940,"Charlottesville, VA",195.36082474226805
39,300000.0,3,2,1905,"Williamsburg, VA",157.48031496062993
40,315000.0,4,4,2695,"North Chesterfield, VA",116.88311688311688
41,234950.0,3,2,1053,"Gloucester, VA",223.12440645773978
42,234900.0,4,2,1568,"Suffolk, VA",149.80867346938774
43,399999.0,4,2,2100,"Montross, VA",190.47571428571428
44,365000.0,3,2,1388,"Forest Hill, Richmond, VA",262.9682997118156
45,739000.0,4,3,2768,"Henrico, VA",266.9797687861272
46,255000.0,5,3,1900,"Suffolk, VA",134.21052631578948
47,299000.0,3,2,1300,"Suffolk, VA",230.0
48,375000.0,3,2,1569,"Suffolk, VA",239.0057361376673
49,285000.0,3,3,1704,"Williamsburg, VA",167.25352112676057
50,189900.0,2,2,979,"British Camp Farms, Richmond, VA",193.97344228804903
51,300000.0,3,3,2144,"Greenbrier West, Chesapeake, VA",139.92537313432837
52,195000.0,3,2,1248,"Indian River, Chesapeake, VA",156.25
53,259900.0,3,3,1363,"Mayfield, Fredericksburg, VA",190.68231841526045
54,500000.0,4,3,2300,"Great Bridge, Chesapeake, VA",217.3913043478261
55,240000.0,4,2,2620,"Mercury Central, Hampton, VA",91.6030534351145
